x,y
"754053","8920061"
"754058","8920067"
"754084","8920093"
"754088","8920098"
"754115","8920124"
"754120","8920128"
"754145","8920154"
"754176","8920153"
"754206","8920154"
"754237","8920154"
"754267","8920153"
"754298","8920152"
"754328","8920148"
"754359","8920147"
"754379","8920127"
"754389","8920119"
"754412","8920096"
"754419","8920091"
"754450","8920090"
"754480","8920089"
"754488","8920095"
"754511","8920118"
"754519","8920126"
"754519","8920156"
"754542","8920187"
"754542","8920218"
"754542","8920218"
"754573","8920218"
"754603","8920248"
"754603","8920248"
"754603","8920248"
"754634","8920217"
"754634","8920217"
"754664","8920186"
"754664","8920186"
"754694","8920155"
"754725","8920155"
"754725","8920155"
"754755","8920124"
"754785","8920124"
"754785","8920124"
"754816","8920093"
"754846","8920093"
"754877","8920093"
"754907","8920092"
"754914","8920123"
"754938","8920147"
"754968","8920123"
"754999","8920145"
"755030","8920150"
"755034","8920153"
"755060","8920179"
"755091","8920178"
"755121","8920178"
"755152","8920180"
"755182","8920179"
"755188","8920183"
"755213","8920207"
"755219","8920213"
"755228","8920244"
"755244","8920259"
"755274","8920268"
"755280","8920274"
"755305","8920299"
"755310","8920305"
"755315","8920335"
"755306","8920366"
"755306","8920366"
"755275","8920382"
"755245","8920377"
"755224","8920397"
"755225","8920428"
"755214","8920434"
"755190","8920459"
"755184","8920463"
"755154","8920463"
"755149","8920459"
"755123","8920433"
"755113","8920429"
"755092","8920409"
"755062","8920429"
"755062","8920429"
"755032","8920460"
"755032","8920460"
"755001","8920491"
"755001","8920491"
"754971","8920502"
"754951","8920522"
"754947","8920553"
"754941","8920568"
"754926","8920584"
"754911","8920615"
"754911","8920615"
"754911","8920646"
"754911","8920646"
"754942","8920676"
"754942","8920676"
"754948","8920707"
"754942","8920712"
"754917","8920738"
"754912","8920744"
"754887","8920769"
"754881","8920774"
"754856","8920800"
"754851","8920804"
"754825","8920831"
"754821","8920838"
"754790","8920846"
"754760","8920846"
"754752","8920831"
"754729","8920808"
"754726","8920800"
"754698","8920773"
"754695","8920770"
"754692","8920739"
"754692","8920709"
"754667","8920684"
"754652","8920678"
"754637","8920663"
"754622","8920678"
"754606","8920683"
"754580","8920709"
"754576","8920715"
"754552","8920740"
"754546","8920745"
"754521","8920771"
"754516","8920779"
"754493","8920802"
"754485","8920810"
"754463","8920833"
"754455","8920838"
"754425","8920838"
"754394","8920839"
"754369","8920864"
"754364","8920872"
"754341","8920895"
"754334","8920906"
"754303","8920901"
"754272","8920900"
"754242","8920900"
"754212","8920902"
"754187","8920927"
"754186","8920958"
"754181","8920962"
"754155","8920989"
"754155","8921020"
"754155","8921050"
"754155","8921081"
"754152","8921085"
"754126","8921112"
"754126","8921143"
"754122","8921147"
"754096","8921174"
"754091","8921184"
"754061","8921180"
"754030","8921178"
"754000","8921179"
"753969","8921178"
"753939","8921177"
"753908","8921177"
"753905","8921175"
"753878","8921147"
"753847","8921160"
"753817","8921160"
"753786","8921160"
"753756","8921161"
"753725","8921156"
"753695","8921161"
"753664","8921152"
"753657","8921146"
"753634","8921123"
"753603","8921123"
"753593","8921116"
"753573","8921095"
"753542","8921091"
"753512","8921096"
"753481","8921116"
"753451","8921086"
"753451","8921086"
"753420","8921061"
"753389","8921061"
"753359","8921061"
"753354","8921056"
"753328","8921030"
"753298","8921030"
"753267","8921030"
"753237","8921032"
"753206","8921026"
"753206","8921026"
"753175","8920996"
"753175","8920996"
"753165","8920965"
"753145","8920934"
"753175","8920903"
"753175","8920903"
"753205","8920872"
"753236","8920872"
"753236","8920872"
"753266","8920841"
"753296","8920841"
"753327","8920872"
"753327","8920872"
"753358","8920887"
"753365","8920902"
"753388","8920925"
"753394","8920933"
"753396","8920963"
"753419","8920986"
"753450","8920988"
"753457","8920994"
"753481","8921017"
"753511","8921019"
"753542","8921021"
"753572","8921021"
"753576","8921024"
"753603","8921050"
"753633","8921049"
"753664","8921054"
"753664","8921054"
"753694","8921053"
"753725","8921053"
"753755","8921053"
"753755","8921053"
"753786","8921045"
"753816","8921045"
"753847","8921047"
"753872","8921022"
"753877","8921016"
"753907","8921014"
"753930","8920990"
"753931","8920960"
"753937","8920952"
"753960","8920929"
"753968","8920922"
"753998","8920925"
"754025","8920898"
"753998","8920867"
"754028","8920836"
"754028","8920836"
"754028","8920836"
"754013","8920805"
"754022","8920775"
"754028","8920771"
"754054","8920744"
"754058","8920736"
"754088","8920713"
"754119","8920728"
"754134","8920712"
"754143","8920682"
"754143","8920651"
"754138","8920620"
"754133","8920589"
"754141","8920559"
"754118","8920536"
"754087","8920536"
"754057","8920539"
"754026","8920536"
"754021","8920529"
"753995","8920503"
"753965","8920504"
"753959","8920498"
"753934","8920474"
"753929","8920468"
"753926","8920437"
"753934","8920429"
"753957","8920406"
"753964","8920398"
"753995","8920391"
"754025","8920375"
"754056","8920401"
"754082","8920375"
"754055","8920348"
"754048","8920344"
"754050","8920313"
"754050","8920283"
"754024","8920257"
"754020","8920252"
"754021","8920221"
"754020","8920191"
"754018","8920160"
"754017","8920129"
"754015","8920098"
"754023","8920093"
"754048","8920067"
"754053","8920061"
